property_type,state,lat,lon,area_m2,price_usd
house,Estado de México,19.560181,-99.233528,150,"$67,965.56 "
house,Nuevo León,25.6884355,-100.1988071,186,"$63,223.78 "
apartment,Guerrero,16.767704,-99.764383,82,"$84,298.37 "
apartment,Guerrero,16.829782,-99.911012,150,"$94,308.80 "
house,Veracruz de Ignacio de la Llave,,,175,"$94,835.67 "
house,Yucatán,21.05258302,-89.53863859,205,"$105,191.37 "
house,Querétaro,20.7163149,-100.4525027,320,"$274,034.68 "
house,Querétaro,,,202,"$43,202.91 "
house,Nuevo León,,,90,"$34,254.33 "
house,Morelos,18.8126047,-98.9548261,281,"$151,509.56 "
house,Chiapas,16.769737,-93.088928,140,"$79,029.72 "
house,Estado de México,19.30540733,-99.64694828,235,"$115,937.75 "
house,Morelos,18.804197,-98.932816,117,"$63,223.78 "
apartment,Guerrero,16.775165,-99.789939,117,"$157,269.15 "
house,Yucatán,21.0483333,-89.6780555,193,"$104,607.47 "
house,Estado de México,19.560181,-99.233528,85,"$63,238.77 "
house,Tabasco,18.01408208,-92.8963995,135,"$77,994.48 "
apartment,Distrito Federal,19.390748,-99.158695,127,"$131,716.20 "
apartment,Yucatán,21.33715074,-89.32268858,208,"$203,167.10 "
house,Distrito Federal,19.337652,-99.2233268,297,"$264,390.77 "
house,Nayarit,21.518174,-104.9074948,173,"$63,238.77 "
house,Morelos,18.855343,-99.241142,73,"$36,775.16 "
apartment,Puebla,19.0248763,-98.1945109,170,"$173,570.30 "
apartment,Distrito Federal,19.403334,-99.157755,129,"$131,716.20 "
apartment,Distrito Federal,19.428152,-99.106194,68,"$67,175.26 "
house,Puebla,18.991881,-98.275275,334,"$262,905.55 "
house,Veracruz de Ignacio de la Llave,25.624891,-103.397214,106,"$40,041.72 "
house,Yucatán,20.997143,-89.601028,132,"$64,556.24 "
house,Sinaloa,23.239141,-106.412613,104,"$44,783.51 "
apartment,Distrito Federal,19.430141,-99.172536,97,"$104,846.10 "
apartment,Guerrero,,,150,"$102,763.00 "
house,Estado de México,19.538595,-99.180214,200,"$158,059.45 "
house,Morelos,,,170,"$118,544.58 "
apartment,Yucatán,21.030668,-89.599258,80,"$84,845.35 "
house,Tabasco,17.893124,-92.92127323,70,"$39,514.86 "
house,Chiapas,16.717077,-93.162903,240,"$158,059.45 "
house,Puebla,,,194,"$131,716.20 "
house,Chihuahua,,,150,"$51,644.99 "
house,Tamaulipas,22.3261979,-97.8885244,188,"$92,223.21 "
house,Yucatán,21.0231861,-89.5863038,253,"$129,639.48 "
apartment,Distrito Federal,19.39365,-99.14769,128,"$120,125.18 "
house,Veracruz de Ignacio de la Llave,25.569582,-103.33239,350,"$158,059.45 "
house,Morelos,,,240,"$210,745.93 "
house,Veracruz de Ignacio de la Llave,25.581369,-103.377648,133,"$51,632.75 "
house,Morelos,,,220,"$263,494.89 "
house,Puebla,19.0412967,-98.2061996,250,"$155,461.98 "
house,Distrito Federal,19.390301,-99.11161,187,"$126,447.56 "
apartment,Puebla,,,106,"$149,755.74 "
house,Veracruz de Ignacio de la Llave,19.101803,-96.163884,127,"$51,662.25 "
apartment,Puebla,19.026517,-98.214364,102,"$97,598.50 "
house,Jalisco,23.634501,-102.552788,107,"$57,955.13 "
house,Yucatán,21.075163,-89.516731,242,"$108,534.15 "
house,Distrito Federal,19.3605334,-99.2267067,245,"$247,626.47 "
apartment,Distrito Federal,19.351369,-99.248993,90,"$86,300.46 "
apartment,Distrito Federal,19.412142,-99.146127,75,"$44,794.13 "
apartment,Puebla,18.987232,-98.206947,93,"$40,841.70 "
apartment,San Luis Potosí,,,155,"$144,922.18 "
house,Estado de México,19.715134,-99.214828,126,"$95,309.84 "
house,Distrito Federal,19.374069,-99.01932,300,"$150,719.07 "
house,San Luis Potosí,22.133745,-101.016029,132,"$81,683.41 "
house,Morelos,18.804197,-98.932816,130,"$65,858.10 "
apartment,Yucatán,21.0294432,-89.6322061,237,"$192,087.77 "
house,Sinaloa,24.8093254,-107.4692179,96,"$60,603.82 "
apartment,Distrito Federal,19.33923,-99.218987,102,"$237,089.17 "
house,Baja California,32.493049,-116.907481,76,"$41,095.45 "
house,Hidalgo,20.1254846,-98.7362998,229,"$158,096.93 "
house,Morelos,18.960244,-99.212962,305,"$227,351.46 "
house,Puebla,23.634501,-102.552788,128,"$67,438.69 "
house,Estado de México,19.53808025,-99.23847934,240,"$136,984.85 "
house,Quintana Roo,21.129547,-86.817017,135,"$93,781.94 "
house,Nuevo León,25.5683841,-100.2439723,320,"$205,477.28 "
house,Chiapas,,,96,"$56,756.79 "
house,Estado de México,,,268,"$226,605.60 "
apartment,Tamaulipas,22.217112,-97.854477,170,"$43,887.84 "
house,Guerrero,16.860338,-99.870399,168,"$94,835.67 "
house,Veracruz de Ignacio de la Llave,,,180,"$97,469.99 "
house,Veracruz de Ignacio de la Llave,19.109509,-96.111477,220,"$105,372.96 "
house,Guerrero,16.771518,-99.772466,180,"$79,029.72 "
house,Querétaro,23.634501,-102.552788,250,"$176,499.72 "
apartment,Yucatán,21.0307114,-89.6181018,157,"$81,630.71 "
house,Querétaro,20.6536084,-100.3469826,128,"$105,372.96 "
house,Estado de México,19.650003,-99.220367,135,"$126,477.54 "
house,Hidalgo,,,176,"$71,390.18 "
house,Nuevo León,25.708134,-100.145821,60,"$34,254.33 "
house,Nuevo León,25.751371,-100.238281,185,"$72,707.34 "
apartment,Distrito Federal,19.351371,-99.161529,60,"$35,563.37 "
house,Distrito Federal,19.298899,-99.208048,300,"$207,057.88 "
house,Veracruz de Ignacio de la Llave,25.581989,-103.378005,220,"$76,395.40 "
house,Tamaulipas,26.074236,-98.349915,200,"$126,447.56 "
house,Quintana Roo,21.15048247,-86.81568548,261,"$216,014.58 "
apartment,Distrito Federal,,,81,"$42,149.18 "
house,Jalisco,20.785506,-103.442286,98,"$52,423.05 "
apartment,Distrito Federal,19.374421,-99.13907,72,"$118,386.52 "
house,Yucatán,20.99947,-89.642815,211,"$63,238.77 "
house,Querétaro,,,128,"$50,052.15 "
house,Estado de México,19.533243,-99.227295,200,"$173,865.39 "
house,Querétaro,20.705742,-100.444016,300,"$226,551.88 "
house,Sonora,29.058504,-110.978981,185,"$34,254.33 "
house,Puebla,18.99466,-98.2761016,178,"$139,652.29 "
house,Sinaloa,24.754314,-107.402241,280,"$84,298.37 "
house,Puebla,,,247,"$121,178.91 "
house,Estado de México,19.544106,-99.112656,131,"$68,492.42 "
house,Querétaro,,,350,"$221,283.23 "
house,Chihuahua,28.6329957,-106.0691004,115,"$63,238.77 "
house,Yucatán,20.99214914,-89.5655331,121,"$65,873.72 "
house,San Luis Potosí,22.141575,-100.900192,108,"$50,591.01 "
house,Distrito Federal,19.499857,-99.097517,300,"$126,447.56 "
apartment,Distrito Federal,19.381729,-99.164986,80,"$142,253.50 "
house,Morelos,18.942068,-99.242531,290,"$242,415.29 "
house,Puebla,19.087196,-98.288637,148,"$72,707.34 "
house,Veracruz de Ignacio de la Llave,19.1616453,-96.154687,290,"$147,557.13 "
house,Puebla,18.989595,-98.203529,200,"$150,192.08 "
house,Morelos,18.917542,-98.963181,220,"$110,641.61 "
apartment,San Luis Potosí,,,167,"$166,001.78 "
house,Yucatán,20.9993534,-89.5910162,192,"$86,953.31 "
house,Estado de México,,,207,"$152,827.03 "
house,Baja California Sur,24.14994473,-110.3169306,176,"$131,747.44 "
apartment,Querétaro,,,104,"$108,454.49 "
apartment,Distrito Federal,19.384533,-99.183172,120,"$189,716.32 "
house,Distrito Federal,19.317922,-99.236124,350,"$176,499.72 "
house,Estado de México,19.696592,-99.231445,87,"$152,000.50 "
apartment,Distrito Federal,19.38250406,-99.15803991,78,"$137,017.34 "
apartment,Distrito Federal,19.401819,-99.184615,75,"$78,502.86 "
house,Puebla,18.998509,-98.179484,200,"$102,738.64 "
apartment,San Luis Potosí,22.1418,-101.027344,114,"$88,270.78 "
house,Yucatán,21.072905,-89.65963,266,"$111,721.83 "
house,Nuevo León,25.6318511,-100.170963,204,"$51,644.99 "
house,Estado de México,19.283869,-99.588992,70,"$57,006.77 "
house,Jalisco,20.532827,-103.483829,155,"$110,641.61 "
house,Morelos,18.918608,-98.941094,247,"$142,287.24 "
apartment,Jalisco,20.649012,-103.448288,88,"$82,875.83 "
house,Yucatán,21.030668,-89.599258,175,"$120,944.15 "
house,Zacatecas,23.634501,-102.552788,170,"$89,567.02 "
apartment,Distrito Federal,19.380937,-99.179545,98,"$197,100.13 "
apartment,Estado de México,19.559799,-99.233795,60,"$34,599.16 "
house,Yucatán,21.072905,-89.65963,127,"$47,417.83 "
house,Distrito Federal,19.367215,-99.222138,180,"$116,173.69 "
house,Puebla,,,320,"$255,529.44 "
house,Puebla,19.044477,-98.328011,326,"$326,733.66 "
house,Veracruz de Ignacio de la Llave,18.134026,-94.476112,210,"$247,626.47 "
house,Veracruz de Ignacio de la Llave,25.572505,-103.425036,330,"$121,178.91 "
house,Chiapas,,,300,"$94,835.67 "
house,Estado de México,19.290517,-99.694921,157,"$105,372.96 "
house,Jalisco,20.788616,-103.435217,156,"$123,813.23 "
apartment,Nuevo León,25.6526883,-100.4122654,101,"$160,866.42 "
