property_type,state,lat,lon,area_m2,price_mxn
apartment,Nuevo León,25.721081,-100.345581,72,1300000
apartment,Puebla,,,190,2500000
house,Morelos,23.634501,-102.552788,360,5300000
house,Morelos,,,76,820000
house,Puebla,,,200,1100000
house,San Luis Potosí,,,162,1860000
apartment,Estado de México,19.2720402,-99.572013,85,1250000
house,San Luis Potosí,22.13888212,-100.9965101,158,2120000
apartment,Distrito Federal,19.394558,-99.129707,65,758190
house,Morelos,,,216,2750000
house,Veracruz de Ignacio de la Llave,19.1680666,-96.160663,100,670000
apartment,Distrito Federal,19.3261963,-99.14058611,74,2990000
house,Yucatán,21.0552216,-89.6583682,220,2137000
house,Chihuahua,28.691416,-106.13604,236,2100000
house,Morelos,,,277,5700000
apartment,Jalisco,20.641428,-103.417295,85,1690000
house,San Luis Potosí,22.126078,-100.944672,131,1045000
house,Puebla,19.03642362,-98.19941841,337,3100000
apartment,Distrito Federal,19.367239,-99.186126,92,3500000
apartment,Guerrero,16.851935,-99.844955,195,2000000
house,Veracruz de Ignacio de la Llave,19.153019,-96.12487,207,2750000
house,Nuevo León,25.75013289,-100.2701137,280,1990000
apartment,Estado de México,19.536253,-99.240456,99,1250000
house,Chiapas,19.673779,-101.187927,210,2600000
house,Baja California,32.4690603,-116.8196303,111,1366313
house,Yucatán,21.030771,-89.646347,150,1200000
house,Chiapas,16.717077,-93.162903,170,1800000
house,Morelos,18.813908,-99.201675,86,1000000
apartment,Distrito Federal,19.473001,-99.087491,79,680990
house,Yucatán,21.072905,-89.65963,190,1850000
house,Querétaro,20.618279,-100.346985,237,3000000
house,Yucatán,21.075163,-89.516731,300,2190000
house,Guerrero,16.86597275,-99.87171739,300,2500000
house,Chiapas,,,270,3300000
house,Estado de México,,,350,4000000
house,Veracruz de Ignacio de la Llave,25.582705,-103.376805,232,1550000
house,Yucatán,21.017197,-89.574516,220,1750000
house,Hidalgo,20.036614,-98.77615,295,1800000
house,Yucatán,21.0399331,-89.5965747,240,1890000
house,Morelos,18.893921,-99.221429,160,2850000
house,Aguascalientes,,,140,650000
house,Veracruz de Ignacio de la Llave,25.545829,-103.38708,115,1100000
